code,title,quantity,cost,type,period
30,Фармацевтическая продукция,8001.48,670519.4,I,2014-10 
31,Удобрения,184538.85,89230.7,I,2014-10 
32,"Экстракты дубильные или красильные; таннины и их производные; красители, пигменты и прочие красящие вещества; краски и лаки; шпатлевки и прочие мастики; полиграфическая краска, чернила, тушь",74405.44,238006.6,I,2014-10 
33,"Эфирные масла и резиноиды; парфюмерные, косметические или туалетные средства",26892.81,229116.9,I,2014-10 
34,"Мыло, поверхностно-активные органические вещества, моющие средства, смазочные материалы, искусственные и готовые воски, составы для чистки или полировки, свечи и аналогичные изделия, пасты для лепки, пластилин, ""зубоврачебный воск"" и зубоврачебные составы",96641.25,213971.1,I,2014-10 
35,Белковые вещества; модифицированные крахмалы; клеи; ферменты,12284.59,48725.4,I,2014-10 
36,Взрывчатые вещества; пиротехнические изделия; спички; пирофорные сплавы; некоторые горючие вещества,1908.66,5636.2,I,2014-10 
37,Фото- и кинотовары,1070.98,14270.4,I,2014-10 
38,Прочие химические продукты,127605.01,376952.9,I,2014-10 
39,Пластмассы и изделия из них,665390.6,1559183.8,I,2014-10 
40,"Каучук, резина и изделия из них",115857.61,392542.5,I,2014-10 
41,Hеобработанные шкуры (кроме натурального меха) и выделанная кожа,3315.01,56310.2,I,2014-10 
42,"Изделия из кожи; шорно-седельные изделия и упряжь; дорожные принадлежности, дамские сумки и аналогичные им товары; изделия из кишок животных (кроме волокна из фиброина шелкопряда)",1417.3,30406.4,I,2014-10 
43,Натуральный и искусственный мех; изделия из него,524.16,51973.3,I,2014-10 
44,Древесина и изделия из нее; древесный уголь,276534.17,182870.2,I,2014-10 
45,Пробка и изделия из нее,664.11,3268.8,I,2014-10 
46,"Изделия из соломы, альфы или прочих материалов для плетения; корзиночные изделия и плетеные изделия",307.48,1277,I,2014-10 
47,Масса из древесины или из других волокнистых целлюлозных материалов; регенерируемые бумага или картон (макулатура и отходы),52650.21,20893.7,I,2014-10 
48,"Бумага и картон; изделия из бумажной массы, бумаги или картона",265424.69,452373.4,I,2014-10 
49,"Печатные книги, газеты, репродукции и другие изделия полиграфической промышленности; рукописи, машинописные тексты и планы",12236.27,97022.5,I,2014-10 
50,Шелк,5.39,542.2,I,2014-10 
51,"Шерсть, тонкий или грубый волос животных; пряжа и ткань, из конского волоса",6585.35,37055.5,I,2014-10 
52,Хлопок,21056.21,91022,I,2014-10 
53,Прочие растительные текстильные волокна; бумажная пряжа и ткани из бумажной пряжи,2306.93,3747.1,I,2014-10 
54,Химические нити; плоские и аналогичные нити из химических текстильных материалов,19970.87,134425.4,I,2014-10 
55,Химические волокна,13643.33,73376,I,2014-10 
56,"Вата, войлок или фетр и нетканые материалы; специальная пряжа; бечевки, веревки, канаты и тросы и изделия из них",11592.96,69047.4,I,2014-10 
57,Ковры и прочие текстильные напольные покрытия,2508.17,12956.9,I,2014-10 
58,Специальные ткани; тафтинговые текстильные материалы; кружева; гобелены; отделочные материалы; вышивки,3160.95,35123.9,I,2014-10 
59,"Текстильные материалы, пропитанные, с покрытием или дублированные; текстильные изделия технического назначения",9639.19,37533.5,I,2014-10 
60,Трикотажные полотна машинного или ручного вязания,8163.76,74145.4,I,2014-10 
61,Предметы одежды и принадлежности к одежде трикотажные машинного или ручного вязания,4201.49,120293.2,I,2014-10 
62,"Предметы одежды и принадлежности к одежде, кроме трикотажных машинного или ручного вязания",3094.66,146595.5,I,2014-10 
63,"Прочие готовые текстильные изделия; наборы; одежда и текстильные изделия, бывшие в употреблении; тряпье",19242.93,56576.6,I,2014-10 
64,"Обувь, гетры и аналогичные изделия; их детали",13302.67,287950,I,2014-10 
65,Головные уборы и их части,288.9,10636.4,I,2014-10 
66,"Зонты, солнцезащитные зонты, трости, трости-сиденья, хлысты, кнуты для верховой езды и их части",412.51,2987.9,I,2014-10 
67,Обработанные перья и пух и изделия из перьев или пуха; искусственные цветы; изделия из человеческого волоса,797.81,3338.7,I,2014-10 
68,"Изделия из камня, гипса, цемента, асбеста, слюды или аналогичных материалов",305451.4,188181,I,2014-10 
69,Керамические изделия,154095.56,108330.2,I,2014-10 
70,Стекло и изделия из него,206140.22,166723.9,I,2014-10 
72,Черные металлы,2496107.9,1412012.1,I,2014-10 
73,Изделия из черных металлов,452894.24,925906.6,I,2014-10 
74,Медь и изделия из нее,26349.19,187855,I,2014-10 
75,Никель и изделия из него,446.76,5957.1,I,2014-10 
76,Алюминий и изделия из него,85153.66,301762.8,I,2014-10 
78,Свинец и изделия из него,1265.58,3324.1,I,2014-10 
79,Цинк и изделия из него,5097.06,13348.4,I,2014-10 
80,Олово и изделия из него,140.23,3491.8,I,2014-10 
81,Прочие недрагоценные металлы; металлокерамика; изделия из них,215,7006.8,I,2014-10 
82,"Инструменты, приспособления, ножевые изделия, ложки и вилки из недрагоценных металлов; их части из недрагоценных металлов",8371.27,140388.4,I,2014-10 
83,Прочие изделия из недрагоценных металлов,29331.75,154172.5,I,2014-10 
84,"Реакторы ядерные, котлы, оборудование и механические устройства; их части",265810.47,3673507.6,I,2014-10 
85,"Электрические машины и оборудование, их части; звукозаписывающая и звуковоспроизводящая аппаратура, аппаратура для записи и воспроизведения телевизионного изображения и звука, их части и принадлежности",107219.77,1700859.8,I,2014-10 
86,"Железнодорожные локомотивы или моторные вагоны трамвая, подвижной состав и их части; путевое оборудование и устройства для железных дорог или трамвайных путей и их части; механическое (включая электромеханическое) сигнальное оборудование всех видов",45339.36,250930.9,I,2014-10 
87,"Средства наземного транспорта, кроме железнодорожного или трамвайного подвижного состава, и их части и принадлежности",159031.26,1713050.8,I,2014-10 
89,"Суда, лодки и плавучие конструкции",370.27,3530.2,I,2014-10 
90,"Инструменты и аппараты оптические, фотографические, кинематографические, измерительные, контрольные, прецизионные, медицинские или хирургические; их части и принадлежности",5874.65,538687.8,I,2014-10 
91,Часы всех видов и их части,249.32,11235.1,I,2014-10 
92,Инструменты музыкальные; их части и принадлежности,154.07,4415.5,I,2014-10 
94,"Мебель; постельные принадлежности, матрацы, основы матрацные, диванные подушки и аналогичные набивные принадлежности мебели; лампы и осветительное оборудование, в другом месте не поименованные или не включенные; световые вывески, световые таблички с имене",50607.46,234081.2,I,2014-10 
95,"Игрушки, игры и спортивный инвентарь; их части и принадлежности",11252.64,93669.9,I,2014-10 
96,Разные готовые изделия,17470.77,133708.4,I,2014-10 
97,"Произведения искусства, предметы коллекционирования и антиквариат",7.46,1251.4,I,2014-10 
-,Всего,-,24481954.9,I,2015-10
1,Живые животные,2220.31,22915.8,I,2015-10
2,Мясо и пищевые мясные субпродукты,22348,32531.2,I,2015-10
3,"Рыба и ракообразные, моллюски и прочие водные беспозвоночные",119525.35,272827.2,I,2015-10
4,"Молочная продукция; яйца птиц; мед натуральный; пищевые продукты животного происхождения, в другом месте не поименованные или не включенные",62678.41,57157.2,I,2015-10
5,"Продукты животного происхождения, в другом месте не поименованные или не включенные",11130.17,7971.3,I,2015-10
6,"Живые деревья и другие растения; луковицы, корни и прочие аналогичные части растений; срезанные цветы и декоративная зелень",27516.78,34752.4,I,2015-10
7,Овощи и некоторые съедобные корнеплоды и клубнеплоды,439197.13,400592.9,I,2015-10
8,Съедобные фрукты и орехи; кожура цитрусовых плодов или корки дынь,1306842.63,1155414.8,I,2015-10
9,"Кофе, чай, мате, или парагвайский чай, и пряности",10219.7,63800.9,I,2015-10
10,Злаки,74624.05,63579.3,I,2015-10
11,Продукция мукомольно-крупяной промышленности; солод; крахмалы; инулин; пшеничная клейковина,46176.99,21348.4,I,2015-10
12,"Масличные семена и плоды; прочие семена, плоды и зерно; лекарственные растения и растения для технических целей; солома и фураж",33561.74,62533,I,2015-10
13,"Шеллак природный неочищенный; камеди, смолы и прочие растительные соки и экстракты",530.88,8536.8,I,2015-10
14,"Растительные материалы для изготовления плетеных изделий; прочие продукты растительного происхождения, в другом месте не поименованные или не включенные",657.86,153.6,I,2015-10
15,Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения,114571.38,116603.7,I,2015-10
16,"Готовые продукты из мяса, рыбы или ракообразных, моллюсков или прочих водных беспозвоночных.",10808.37,30598.4,I,2015-10
17,Сахар и кондитерские изделия из сахара,199153.99,106606.5,I,2015-10
18,Какао и продукты из него,26611.55,97504.3,I,2015-10
19,"Готовые продукты из зерна злаков, муки, крахмала или молока; мучные кондитерские изделия",91265.43,152171.4,I,2015-10
20,"Продукты переработки овощей, фруктов, орехов или прочих частей растений.",80931.05,109601.8,I,2015-10
21,Разные пищевые продукты,72018.89,190316.4,I,2015-10
22,Алкогольные и безалкогольные напитки и уксус.,236253.83,142084.7,I,2015-10
23,Остатки и отходы пищевой промышленности; готовые корма для животных,784507.44,362286.8,I,2015-10
24,Табак и промышленные заменители табака.,11383.65,80461.7,I,2015-10
25,"Соль; сера; земли и камень; штукатурные материалы, известь и цемент",3278353.87,179916.2,I,2015-10
26,"Руды, шлак и зола.",243200.57,7581.7,I,2015-10
27,"Топливо минеральное, нефть и продукты их перегонки; битуминозные вещества; воски минеральные",31346063.04,7685342,I,2015-10
28,"Продукты неорганической химии; соединения неорганические или органические драгоценных металлов, редкоземельных металлов, радиоактивных элементов или изотопов",374647.11,155859.5,I,2015-10
29,Органические химические соединения,271168.88,405950.2,I,2015-10
30,Фармацевтическая продукция,7169.29,515035.3,I,2015-10
31,Удобрения,164972.14,80577.5,I,2015-10
32,"Экстракты дубильные или красильные; таннины и их производные; красители, пигменты и прочие красящие вещества; краски и лаки; шпатлевки и прочие мастики; полиграфическая краска, чернила, тушь",59887.03,157385.8,I,2015-10
33,"Эфирные масла и резиноиды; парфюмерные, косметические или туалетные средства",24111.7,166126.5,I,2015-10
34,"Мыло, поверхностно-активные органические вещества, моющие средства, смазочные материалы, искусственные и готовые воски, составы для чистки или полировки, свечи и аналогичные изделия, пасты для лепки, пластилин, ""зубоврачебный воск"" и зубоврачебные составы",91407.05,155127.9,I,2015-10
35,Белковые вещества; модифицированные крахмалы; клеи; ферменты,10746.39,36818.9,I,2015-10
36,Взрывчатые вещества; пиротехнические изделия; спички; пирофорные сплавы; некоторые горючие вещества,837.42,2202.9,I,2015-10
37,Фото- и кинотовары,1061.33,12247,I,2015-10
38,Прочие химические продукты,100149.62,269472.6,I,2015-10
39,Пластмассы и изделия из них,611041.28,1087121.6,I,2015-10
40,"Каучук, резина и изделия из них",96389.36,262609.9,I,2015-10
41,Hеобработанные шкуры (кроме натурального меха) и выделанная кожа,1775.22,30562.7,I,2015-10
42,"Изделия из кожи; шорно-седельные изделия и упряжь; дорожные принадлежности, дамские сумки и аналогичные им товары; изделия из кишок животных (кроме волокна из фиброина шелкопряда)",1105.08,21540.7,I,2015-10
43,Натуральный и искусственный мех; изделия из него,222.08,15410.3,I,2015-10
44,Древесина и изделия из нее; древесный уголь,202326.3,108358.1,I,2015-10
45,Пробка и изделия из нее,459.99,2027.7,I,2015-10
46,"Изделия из соломы, альфы или прочих материалов для плетения; корзиночные изделия и плетеные изделия",294.11,825.8,I,2015-10
47,Масса из древесины или из других волокнистых целлюлозных материалов; регенерируемые бумага или картон (макулатура и отходы),29044.54,14133.3,I,2015-10
48,"Бумага и картон; изделия из бумажной массы, бумаги или картона",235378.42,302019.3,I,2015-10
49,"Печатные книги, газеты, репродукции и другие изделия полиграфической промышленности; рукописи, машинописные тексты и планы",9477.24,73879.4,I,2015-10
50,Шелк,3.02,320.2,I,2015-10
51,"Шерсть, тонкий или грубый волос животных; пряжа и ткань, из конского волоса",6344.37,28835.4,I,2015-10
52,Хлопок,15657.31,58230.1,I,2015-10
53,Прочие растительные текстильные волокна; бумажная пряжа и ткани из бумажной пряжи,3100.31,5086.1,I,2015-10
54,Химические нити; плоские и аналогичные нити из химических текстильных материалов,17321.12,86585.9,I,2015-10
55,Химические волокна,9133.97,45278.8,I,2015-10
56,"Вата, войлок или фетр и нетканые материалы; специальная пряжа; бечевки, веревки, канаты и тросы и изделия из них",10412.11,51477.6,I,2015-10
57,Ковры и прочие текстильные напольные покрытия,2214.45,8522.3,I,2015-10
58,Специальные ткани; тафтинговые текстильные материалы; кружева; гобелены; отделочные материалы; вышивки,2695.28,22012,I,2015-10
59,"Текстильные материалы, пропитанные, с покрытием или дублированные; текстильные изделия технического назначения",8266.4,23182.6,I,2015-10
60,Трикотажные полотна машинного или ручного вязания,9828.57,51670.8,I,2015-10
